id,education,income,recency,age,divorced,single,together,widow,children_home,lifetime,wines,fruits,meat,fish,sweet,golds,total_amount,deals_p,web_p,catalog_p,store_p,web_visits,total_p,accepted_cmp
5524,2,58138.0,58,57,0,1,0,0,0,25.366666666666667,0.39270253555967843,0.05442176870748299,0.33766233766233766,0.10636982065553494,0.05442176870748299,0.05442176870748299,1617,0.13636363636363635,0.36363636363636365,0.45454545454545453,0.18181818181818182,7,22,1
2174,2,46344.0,38,60,0,1,0,0,2,7.033333333333333,0.4074074074074074,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.2222222222222222,27,0.5,0.25,0.25,0.5,5,4,0
4141,2,71613.0,26,49,0,0,1,0,0,13.666666666666666,0.5489690721649485,0.06314432989690721,0.163659793814433,0.14304123711340205,0.027061855670103094,0.05412371134020619,776,0.05,0.4,0.1,0.5,4,20,0
6182,2,26646.0,26,30,0,0,1,0,1,7.9,0.20754716981132076,0.07547169811320754,0.37735849056603776,0.18867924528301888,0.05660377358490566,0.09433962264150944,53,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,6,6,0
5324,4,58293.0,94,33,0,0,1,0,1,8.633333333333333,0.4099526066350711,0.1018957345971564,0.2796208530805687,0.10900473933649289,0.06398104265402843,0.035545023696682464,422,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.42857142857142855,5,14,0
7446,3,62513.0,16,47,0,0,1,0,1,13.033333333333333,0.7262569832402235,0.05865921787709497,0.13687150837988826,0.0,0.05865921787709497,0.019553072625698324,716,0.1,0.3,0.2,0.5,6,20,0
965,2,55635.0,34,43,1,0,0,0,1,23.033333333333335,0.3983050847457627,0.11016949152542373,0.27796610169491526,0.0847457627118644,0.08305084745762711,0.04576271186440678,590,0.23529411764705882,0.4117647058823529,0.17647058823529413,0.4117647058823529,6,17,0
6177,4,33454.0,32,29,0,0,1,0,1,17.166666666666668,0.44970414201183434,0.05917159763313609,0.33136094674556216,0.01775147928994083,0.005917159763313609,0.13609467455621302,169,0.25,0.5,0.0,0.5,8,8,0
4855,4,30351.0,19,40,0,0,1,0,1,16.2,0.30434782608695654,0.0,0.5217391304347826,0.06521739130434782,0.06521739130434782,0.043478260869565216,46,0.2,0.6,0.0,0.4,9,5,1
5899,4,5648.0,68,64,0,0,1,0,2,6.866666666666666,0.5714285714285714,0.0,0.12244897959183673,0.02040816326530612,0.02040816326530612,0.2653061224489796,49,1.0,1.0,0.0,0.0,20,1,1
